time,d1,d2,d3,x,y,z
2025-04-25 20:35:40,254,259,284,48.06,77.95,268.83
2025-04-25 20:35:41,254,259,314,48.06,36.82,277.47
2025-04-25 20:35:41,246,259,314,29.4,30.6,272.72
2025-04-25 20:35:41,246,190,314,175.73,6.21,212.73
2025-04-25 20:35:41,246,190,264,175.73,72.67,200.03
2025-04-25 20:35:42,390,354,394,180.6,86.2,369.26
2025-04-25 20:35:43,345,264,381,285.79,16.75,242.22
2025-04-25 20:35:43,340,287,176,211.71,284.85,104.59
2025-04-25 20:35:43,340,287,321,211.71,116.59,280.15
2025-04-25 20:35:44,52,97,194,20.81,29.34,73.69
2025-04-25 20:35:45,314,296,115,110.25,307.69,107.28
2025-04-25 20:35:46,406,343,359,272.36,158.72,301.2
2025-04-25 20:35:47,337,241,266,315.2,168.87,82.59
